AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Capital;28063751;CP INF-PRI;AGUSTIN RODRIGUEZ SAHAGUN;Calle De La Granja De San Ildefonso, 17-19 ;Madrid;Villa de Vallecas;28051;913324348;914941475;Público
Madrid-Capital;28004989;CP INF-PRI;AGUSTINA DIEZ;Calle Del Vesubio, 5 ;Madrid;Puente de Vallecas;28038;917770073;917770073;Público
Madrid-Capital;28004990;CP INF-PRI;ALBERTO ALCOCER;Avenida Canillejas-vicalvaro, 56 ;Madrid;San Blas-Canillejas;28022;913202609;913200446;Público
Madrid-Capital;28018393;CP INF-PRI;ALCALDE DE MOSTOLES;Calle De Aldeanueva De La Vera, 9 ;Madrid;Latina;28044;917055465;915095129;Público
Madrid-Capital;28005003;CP INF-PRI;ALFONSO X EL SABIO;Calle De La Fuente De San Pedro, 6 ;Madrid;Vicálvaro;28032;913719661;917765962;Público
Madrid-Capital;28038318;CP INF-PRI;ALHAMBRA;Calle De Ramón Gómez De La Serna, 103 ;Madrid;Fuencarral-El Pardo;28035;913162273;913737021;Público
Madrid-Capital;28066302;CP INF-PRI;ALVARO DE BAZAN;Calle De Zurich, 10 ;Madrid;San Blas-Canillejas;28022;917757114;913067517;Público
Madrid-Capital;28018401;CP INF-PRI;AMADEO VIVES;Calle De Los Yébenes, 6 ;Madrid;Latina;28047;917183389;917199055;Público
Madrid-Capital;28010412;CP INF-PRI;AMADOR DE LOS RIOS;Paseo Del Marqués De Zafra, 16 ;Madrid;Salamanca;28028;917252610;917261891;Público
Madrid-Capital;28005854;CP INF-PRI;AMOS ACERO;Calle De Rodríguez Espinosa, 54 ;Madrid;Puente de Vallecas;28053;914785161;914772415;Público
Madrid-Capital;28021215;CP INF-PRI;ANTONIO DE NEBRIJA;Calle De Juan José Martínez Seco, 77 ;Madrid;Villaverde;28021;917963500;915051317;Público
Madrid-Capital;28072478;CP INF-PRI;ANTONIO FONTAN;Avenida Santuario De Valverde C/v Monasterio Arlanza, S/n ;Madrid;Fuencarral-El Pardo;28049;911722243;911720001;Público
Madrid-Capital;28005039;CP INF-PRI;ANTONIO MACHADO;Calle De Allariz, 3 ;Madrid;Carabanchel;28044;915088661;914006788;Público
Madrid-Capital;28010874;CP INF-PRI;ANTONIO MORENO ROSALES;Calle Del Olmo, 4 ;Madrid;Centro;28012;915390646;915390646;Público
Madrid-Capital;28033941;CP INF-PRI;ARAGON;Avenida De Rafael Alberti, 2 ;Madrid;Puente de Vallecas;28038;913039852;913806367;Público
Madrid-Capital;28010424;CP INF-PRI;ARAVACA;Calle Del Estudio, 6 ;Madrid;Moncloa-Aravaca;28023;913078119;913071832;Público
Madrid-Capital;28006469;CP INF-PRI;ARCIPRESTE DE HITA;Calle De Antonio Moreno, 25 ;Madrid;Carabanchel;28025;915605495;914605635;Público
Madrid-Capital;28021124;CP INF-PRI;ARQUITECTO GAUDI;Calle De Rosa Jardón, 10 ;Madrid;Chamartín;28016;913506564;913506564;Público
Madrid-Capital;28035524;CP INF-PRI;ASTURIAS;Calle De Los Asturianos, 2 ;Madrid;Puente de Vallecas;28018;917770635;917850680;Público
Madrid-Capital;28071383;CP INF-PRI;AUSIAS MARCH;Calle De La Estefanita, 9 ;Madrid;Villaverde;28021;917109916;917964694;Público
Madrid-Capital;28005091;CP INF-PRI;AZORIN;Calle De Godella, 57 ;Madrid;Villaverde;28021;917975733;917231639;Público
Madrid-Capital;28005106;CP INF-PRI;BARCELONA;Avenida De La Verbena De La Paloma, 14 ;Madrid;Villaverde;28041;913603078;913179568;Público
Madrid-Capital;28075777;CP INF-PRI;BLAS DE LEZO;Calle De Fromista, 27 ;Madrid;Fuencarral-El Pardo;28050;626122902;-;Público
Madrid-Capital;28035512;CP INF-PRI;BLAS DE OTERO;Calle De Puentelarra, 34 ;Madrid;Villa de Vallecas;28031;913311550;913310535;Público
Madrid-Capital;28005155;CP INF-PRI;BOLIVIA;Calle De Villavaliente, 29 ;Madrid;Latina;28011;914649989;914649989;Público
Madrid-Capital;28021331;CP INF-PRI;BRAVO MURILLO;Calle De Las Islas Cíes, 11 ;Madrid;Fuencarral-El Pardo;28035;917385793;917385793;Público
Madrid-Capital;28031063;CP INF-PRI;BREOGAN;Calle De Ginzo De Limia, 2 ;Madrid;Fuencarral-El Pardo;28029;917304040;917396184;Público
Madrid-Capital;28037201;CP INF-PRI;CALDERON DE LA BARCA;Calle De Calderón, 2 ;Madrid;Barajas;28042;917472465;917473130;Público
Madrid-Capital;28041755;CP INF-PRI;CAMILO JOSE CELA;Calle De Melchor Fernández Almagro, 22 ;Madrid;Fuencarral-El Pardo;28029;917392424;913781507;Público
Madrid-Capital;28005179;CP INF-PRI;CAPITAN CORTES;Calle De Monseñor Oscar Romero, 17 ;Madrid;Carabanchel;28025;914628662;914619130;Público
Madrid-Capital;28030198;CP INF-PRI;CARDENAL HERRERA ORIA;Calle De Fermín Caballero, 68 ;Madrid;Fuencarral-El Pardo;28034;913781613;917385711;Público
Madrid-Capital;28020661;CP INF-PRI;CARLOS SAINZ DE LOS TERREROS;Calle De Cartama, 1 ;Madrid;Puente de Vallecas;28018;917783885;917774420;Público
Madrid-Capital;28010461;CP INF-PRI;CARLOS V;Calle De La Virgen Del Val, 3 ;Madrid;Ciudad Lineal;28027;914041481;914052705;Público
Madrid-Capital;28010473;CP INF-PRI;CARMEN CABEZUELO;Calle De Cangas De Onís, 7 ;Madrid;San Blas-Canillejas;28037;913040117;913049991;Público
Madrid-Capital;28071826;CP INF-PRI;CARMEN LAFORET;Calle De Omega, 60 ;Madrid;Vicálvaro;28032;917760141;917604734;Público
Madrid-Capital;28077877;CP INF-PRI;CEIP JUAN DE HERRERA;Calle De Enrique García Álvarez, S/n ;Madrid;Villa de Vallecas;28031;-;-;Público
Madrid-Capital;28077865;CP INF-PRI;CEIP VALDEBEBAS;Calle De Félix Candela, 24 ;Madrid;Hortaleza;28055;-;-;Público
Madrid-Capital;28005210;CP INF-PRI;CERVANTES;Calle De Raimundo Fernández Villaverde, 4 ;Madrid;Chamberí;28003;915330837;915330837;Público
Madrid-Capital;28019439;CP INF-PRI;CIUDAD DE BADAJOZ;Calle De Fray José Cerdeiriña, 51 ;Madrid;Latina;28024;917065611;917107103;Público
Madrid-Capital;28011684;CP INF-PRI;CIUDAD DE CORDOBA;Calle De Lillo, 1 ;Madrid;Villaverde;28041;913172417;913179827;Público
Madrid-Capital;28018502;CP INF-PRI;CIUDAD DE GUADALAJARA;Calle Del Bergantín, 13 ;Madrid;Barajas;28042;917470938;917472064;Público
Madrid-Capital;28004904;CP INF-PRI;CIUDAD DE JAEN;Calle De La Madre Rosa Blanco_, 3 ;Madrid;Usera;28041;913174313;913171644;Público
Madrid-Capital;28005234;CP INF-PRI;CIUDAD DE LOS ANGELES;Calle De La Alegría De La Huerta, 6 ;Madrid;Villaverde;28041;917954993;915050434;Público
Madrid-Capital;28031087;CP INF-PRI;CIUDAD DE ROMA;Calle De Juan Esplandiu, 2 ;Madrid;Retiro;28007;915743897;915041695;Público
Madrid-Capital;28020673;CP INF-PRI;CIUDAD DE VALENCIA;Avenida Del Mediterráneo, Km 9 ;Madrid;Villa de Vallecas;28031;913310805;913312548;Público
Madrid-Capital;28018708;CP INF-PRI;CIUDAD DE ZARAGOZA;Calle De Manuel Aguilar Muñoz, 1 ;Madrid;Barajas;28042;913293756;912406061;Público
Madrid-Capital;28005246;CP INF-PRI;CIUDAD PEGASO;Avenida Séptima, 12 ;Madrid;San Blas-Canillejas;28022;917412017;917436218;Público
Madrid-Capital;28005258;CP INF-PRI;CLAUDIO MOYANO;Calle De Cea Bermúdez, 26 ;Madrid;Chamberí;28003;915335718;915345924;Público
Madrid-Capital;28033928;CP INF-PRI;COMPLEJO ESCOLAR PRINCIPE FELIPE;Avenida De Monforte De Lemos, 24 ;Madrid;Fuencarral-El Pardo;28029;913146819;913232548;Público
Madrid-Capital;28010497;CP INF-PRI;CONCEPCION ARENAL;Calle De Antonio López, 1 ;Madrid;Carabanchel;28019;915652702;915650097;Público
Madrid-Capital;28021318;CP INF-PRI;CONCHA ESPINA;Calle De Gerardo Diego, 6 ;Madrid;Puente de Vallecas;28018;917781461;917772584;Público
Madrid-Capital;28005261;CP INF-PRI;CONDE DE ROMANONES;Calle Del Elfo, 143 ;Madrid;Ciudad Lineal;28027;913673655;914080947;Público
Madrid-Capital;28072995;CP INF-PRI;CORTES DE CADIZ;Avenida De Niceto Alcalá Zamora C/v Isabel De Valois, S/n ;Madrid;Hortaleza;28050;911727223;911720746;Público
Madrid-Capital;28010527;CP INF-PRI;COSTA RICA;Calle De Camarena, 247 ;Madrid;Latina;28047;917171601;917171601;Público
Madrid-Capital;28005271;CP INF-PRI;CRISTOBAL COLON;Carretera De Carabanchel A Villaverde, 109 ;Madrid;Villaverde;28041;917973312;917973312;Público
Madrid-Capital;28010539;CP INF-PRI;CUBA;Calle De Tembleque, 58 ;Madrid;Latina;28024;915187564;915180170;Público
Madrid-Capital;28004266;CP INF-PRI;DAMASO ALONSO;Avenida De Espinela, 1 ;Madrid;Villaverde;28021;917970620;917970620;Público
Madrid-Capital;28021446;CP INF-PRI;DANIEL VAZQUEZ DIAZ;Calle De Armenteros, 46 ;Madrid;Moncloa-Aravaca;28039;914505842;913117764;Público
Madrid-Capital;28005076;CP INF-PRI;DE PRACTICAS ASUNCION RINCON;Avenida De Filipinas, 5 ;Madrid;Chamberí;28003;915542118;915345120;Público
Madrid-Capital;28028854;CP INF-PRI;DIONISIO RIDRUEJO;Calle De Zipaquira, 14 ;Madrid;Hortaleza;28033;917639188;917639188;Público
Madrid-Capital;28010503;CP INF-PRI;DOCTOR CONDE ARRUGA;Calle De Hacienda De Pavones, 105 ;Madrid;Moratalaz;28030;917732393;917737286;Público
Madrid-Capital;28010552;CP INF-PRI;DOCTOR FEDERICO RUBIO;Avenida Del Doctor Federico Rubio Y Galí, 53 ;Madrid;Tetuán;28039;914502091;914595006;Público
Madrid-Capital;28021422;CP INF-PRI;DOCTOR SEVERO OCHOA;Calle De Ezcaray, 3 ;Madrid;Vicálvaro;28032;917752715;917750711;Público
Madrid-Capital;28018459;CP INF-PRI;DOCTOR TOLOSA LATOUR;Calle De Los Asturianos, 4 ;Madrid;Puente de Vallecas;28018;917784794;917777679;Público
Madrid-Capital;28005933;CP INF-PRI;EDUARDO ROJO;Calle De Eduardo Rojo, 2 ;Madrid;Puente de Vallecas;28018;914774560;914784525;Público
Madrid-Capital;28039360;CP INF-PRI;EE.UU. DE AMERICA-HUARTE DE SAN JUAN;Paseo Del Comandante Fortea, 71 ;Madrid;Moncloa-Aravaca;28008;915418978;915594699;Público
Madrid-Capital;28044434;CP INF-PRI;EL ESPINILLO;Calle De La Unanimidad, 1 ;Madrid;Villaverde;28041;917237434;913180790;Público
Madrid-Capital;28060221;CP INF-PRI;EL GRECO;Calle De La Estefanita, 7 ;Madrid;Villaverde;28021;917100008;917983281;Público
Madrid-Capital;28038331;CP INF-PRI;EL MADROÑO;Calle De Las Las Marismas, 14 ;Madrid;Puente de Vallecas;28038;915014668;915013612;Público
Madrid-Capital;28042796;CP INF-PRI;EL QUIJOTE;Calle De Fuentidueña, 4 ;Madrid;Villa de Vallecas;28031;913800214;913800246;Público
Madrid-Capital;28057015;CP INF-PRI;EL SOL;Avenida De Canillejas A Vicálvaro, 82 ;Madrid;San Blas-Canillejas;28022;913060345;913060347;Público
Madrid-Capital;28005349;CP INF-PRI;EMILIA PARDO BAZAN;Calle Del Ventorrillo, 14 ;Madrid;Centro;28005;915306059;915275184;Público
Madrid-Capital;28010576;CP INF-PRI;ERMITA DEL SANTO;Paseo De La Ermita Del Santo, 18 ;Madrid;Latina;28011;914642590;914642590;Público
Madrid-Capital;28004965;CP INF-PRI;ESCUELAS AGUIRRE;Calle De Pío Baroja, 4 ;Madrid;Retiro;28009;915741864;915044683;Público
Madrid-Capital;28005167;CP INF-PRI;ESCUELAS BOSQUE;Avenida De Santo Ángel De La Guarda, 4 ;Madrid;Moncloa-Aravaca;28039;914505060;914590557;Público
Madrid-Capital;28021409;CP INF-PRI;ESPERANZA;Calle De Andorra, 12 ;Madrid;Hortaleza;28043;913003012;913003012;Público
Madrid-Capital;28032791;CP INF-PRI;EUGENIO MARIA DE HOSTOS;Calle De Valdevarnés, 26 ;Madrid;Moncloa-Aravaca;28039;913736366;913866937;Público
Madrid-Capital;28010591;CP INF-PRI;FELIPE II;Calle Vía Límite, 12 ;Madrid;Tetuán;28029;913157353;917339393;Público
Madrid-Capital;28010606;CP INF-PRI;FERNANDEZ MORATIN;Avenida De Valladolid, 2 ;Madrid;Moncloa-Aravaca;28008;915479787;915596791;Público
Madrid-Capital;28010618;CP INF-PRI;FERNANDO EL CATOLICO;Calle De Fernando El Católico, 16 ;Madrid;Chamberí;28015;914442902;914469251;Público
Madrid-Capital;28021291;CP INF-PRI;FILOSOFO SENECA;Calle De Santa Adela, 21 ;Madrid;Hortaleza;28033;917638145;913817216;Público
Madrid-Capital;28026006;CP INF-PRI;FONTARRON;Calle Del Arroyo Fontarrón, 24 ;Madrid;Moratalaz;28030;917720378;913050045;Público
Madrid-Capital;28019397;CP INF-PRI;FRANCISCO ARRANZ;Calle De Sondica, 2 ;Madrid;Latina;28044;917066882;917066882;Público
Madrid-Capital;28010680;CP INF-PRI;FRANCISCO DE GOYA;Calle De Antillón, 23 ;Madrid;Latina;28011;914637472;914633270;Público
Madrid-Capital;28010643;CP INF-PRI;FRANCISCO DE LUIS;Calle Del Corregidor Rodrigo Rodríguez, 5 ;Madrid;Moratalaz;28030;914394600;913284275;Público
Madrid-Capital;28005374;CP INF-PRI;FRANCISCO DE QUEVEDO;Calle De Granada, 16 ;Madrid;Retiro;28007;915515211;914333827;Público
Madrid-Capital;28005350;CP INF-PRI;FRANCISCO FATOU;Camino De La Suerte, 23 ;Madrid;Villa de Vallecas;28031;913321050;913323222;Público
Madrid-Capital;28005386;CP INF-PRI;FRANCISCO RUANO;Calle De Almuradiel, 150 ;Madrid;Puente de Vallecas;28053;917862196;917862196;Público
Madrid-Capital;28005404;CP INF-PRI;FRAY JUNIPERO SERRA;Camino De Valderribas, 120 ;Madrid;Puente de Vallecas;28038;914304882;914376926;Público
Madrid-Capital;28063775;CP INF-PRI;GABRIELA MISTRAL;Calle De Mirallos, 3 ;Madrid;Fuencarral-El Pardo;28050;913586549;913586557;Público
Madrid-Capital;28031804;CP INF-PRI;GANDHI;Calle De Gandhi, 10 ;Madrid;Ciudad Lineal;28017;917544592;913045222;Público
Madrid-Capital;28010655;CP INF-PRI;GARCIA MORENTE;Ronda Sur, 229 ;Madrid;Puente de Vallecas;28053;917852016;917856013;Público
Madrid-Capital;28037648;CP INF-PRI;GARCILASO DE LA VEGA;Calle De Trefacio, 18 ;Madrid;Hortaleza;28043;913882060;917161701;Público
Madrid-Capital;28026547;CP INF-PRI;GINER DE LOS RIOS;Calle De Membezar, 25 ;Madrid;Puente de Vallecas;28053;917858021;917858021;Público
Madrid-Capital;28035536;CP INF-PRI;GLORIA FUERTES;Calle Del Censo, 3 ;Madrid;Usera;28041;913412180;913410018;Público
Madrid-Capital;28006111;CP INF-PRI;GONZALO DE BERCEO;Avenida De Abrantes, 5 ;Madrid;Carabanchel;28025;915697225;914692174;Público
Madrid-Capital;28005441;CP INF-PRI;GONZALO FERNANDEZ DE CORDOBA;Calle De Adanero, 3 ;Madrid;Latina;28024;917113625;917113735;Público
Madrid-Capital;28049365;CP INF-PRI;GUINDALERA;Calle De Bóston, 1 ;Madrid;Salamanca;28028;917252437;917255776;Público
Madrid-Capital;28005465;CP INF-PRI;GUSTAVO ADOLFO BECQUER;Calle De Santa Genoveva, 32 ;Madrid;Ciudad Lineal;28017;914051507;914053498;Público
Madrid-Capital;28005477;CP INF-PRI;HAITI;Calle De Guabairo, 22 ;Madrid;Carabanchel;28047;914220250;914651108;Público
Madrid-Capital;28005489;CP INF-PRI;HERMANOS PINZON;Calle Del Azor, 4 ;Madrid;Latina;28024;915186040;915186040;Público
Madrid-Capital;28005490;CP INF-PRI;HERNAN CORTES;Calle De Los Yébenes, 241 ;Madrid;Latina;28047;917176844;917180472;Público
Madrid-Capital;28005519;CP INF-PRI;HONDURAS;Paseo De Federico García Lorca, 19 ;Madrid;Villa de Vallecas;28031;913325719;913325719;Público
Madrid-Capital;28040106;CP INF-PRI;HORTALEZA;Calle De Valdetorres De Jarama, 1 ;Madrid;Hortaleza;28033;917642900;913816099;Público
Madrid-Capital;28025971;CP INF-PRI;IGNACIO ZULOAGA;Calle De Alejandro Rodríguez, 34 ;Madrid;Tetuán;28039;914509620;913980080;Público
Madrid-Capital;28063787;CP INF-PRI;INFANTA LEONOR;Calle Monasterio De El Paular, 140 ;Madrid;Fuencarral-El Pardo;28049;917508788;917508847;Público
Madrid-Capital;28004552;CP INF-PRI;ISAAC ALBENIZ;Calle De La Drácena, 29 ;Madrid;Chamartín;28016;913596972;913596972;Público
Madrid-Capital;28005568;CP INF-PRI;ISAAC PERAL;Glorieta De Rufino Novalvos, 5 ;Madrid;Carabanchel;28025;914726780;914726780;Público
Madrid-Capital;28010710;CP INF-PRI;ISABEL LA CATOLICA;Calle De Barceló, 2 ;Madrid;Centro;28004;915217840;915229393;Público
Madrid-Capital;28005601;CP INF-PRI;JAIME BALMES;Calle De Sierra De La Solana, 2 ;Madrid;Puente de Vallecas;28053;914785884;914771646;Público
Madrid-Capital;28050343;CP INF-PRI;JAIME VERA;Calle De Bravo Murillo, 162 ;Madrid;Tetuán;28020;915723019;915709453;Público
Madrid-Capital;28005623;CP INF-PRI;JAVIER DE MIGUEL;Calle Del Puerto De Viñamala, 11 ;Madrid;Puente de Vallecas;28018;913035102;913805770;Público
Madrid-Capital;28010722;CP INF-PRI;JOAQUIN COSTA;Paseo De Pontones, 8 ;Madrid;Arganzuela;28005;913653632;913653559;Público
Madrid-Capital;28005635;CP INF-PRI;JOAQUIN DICENTA;Paseo Olivos, 70 ;Madrid;Latina;28011;914632093;917550696;Público
Madrid-Capital;28021306;CP INF-PRI;JOAQUIN TURINA;Calle De Arturo Soria, 332 ;Madrid;Ciudad Lineal;28033;913025556;913022741;Público
Madrid-Capital;28021057;CP INF-PRI;JORGE GUILLEN;Avenida De El Ferrol, 47 ;Madrid;Fuencarral-El Pardo;28029;917393801;917393801;Público
Madrid-Capital;28005817;CP INF-PRI;JORGE MANRIQUE;Plaza Del Pintor Lucas, 17 ;Madrid;Usera;28026;915656300;915691615;Público
Madrid-Capital;28038321;CP INF-PRI;JOSE BERGAMIN;Calle De Braille, 19 ;Madrid;Fuencarral-El Pardo;28034;917355560;917345042;Público
Madrid-Capital;28010746;CP INF-PRI;JOSE CALVO SOTELO;Avenida De La Ciudad De Barcelona, 83 ;Madrid;Retiro;28007;914337125;914336781;Público
Madrid-Capital;28074256;CP INF-PRI;JOSE DE ECHEGARAY;Calle De Puentedey, 14 ;Madrid;Villa de Vallecas;28051;911996781;911996782;Público
Madrid-Capital;28005660;CP INF-PRI;JOSE MARIA DE PEREDA;Calle De Mestanza, 94 ;Madrid;Puente de Vallecas;28053;915072651;917861787;Público
Madrid-Capital;28021461;CP INF-PRI;JOSE ORTEGA Y GASSET;Calle De Orense, 87 ;Madrid;Tetuán;28020;915720997;915701341;Público
Madrid-Capital;28071361;CP INF-PRI;JOSEP TARRADELLAS;Calle De Triacastela, 1 ;Madrid;Fuencarral-El Pardo;28050;914274125;914274161;Público
Madrid-Capital;28005684;CP INF-PRI;JOVELLANOS;Calle De Monroy, 34 ;Madrid;Latina;28044;917055018;915095089;Público
Madrid-Capital;28005696;CP INF-PRI;JUAN DE LA CIERVA;Calle De Villarrosa, 7 ;Madrid;Villaverde;28041;917230235;917965560;Público
Madrid-Capital;28026535;CP INF-PRI;JUAN GRIS;Calle De Muela De San Juan, 31 ;Madrid;Villa de Vallecas;28031;913327264;913327263;Público
Madrid-Capital;28005714;CP INF-PRI;JUAN RAMON JIMENEZ;Calle Del Marqués De Viana, 58 ;Madrid;Tetuán;28039;915717512;914250976;Público
Madrid-Capital;28005726;CP INF-PRI;JUAN SEBASTIAN ELCANO;Calle De Mirasierra, 29 ;Madrid;Usera;28026;914765139;914768107;Público
Madrid-Capital;28020533;CP INF-PRI;JUAN ZARAGUETA;Calle Vía De Los Poblados, 17 ;Madrid;Hortaleza;28033;917630869;917630869;Público
Madrid-Capital;28031488;CP INF-PRI;JULIAN BESTEIRO;Avenida De Abrantes, 79 ;Madrid;Carabanchel;28025;915600091;915655204;Público
Madrid-Capital;28063805;CP INF-PRI;JULIAN MARIAS;Calle De Budapest, 11 ;Madrid;San Blas-Canillejas;28022;917609323;917609319;Público
Madrid-Capital;28006411;CP INF-PRI;LA ALAMEDA;Calle De Las Musas, 9 ;Madrid;San Blas-Canillejas;28022;917411453;913204540;Público
Madrid-Capital;28037375;CP INF-PRI;LA DEHESA DEL PRINCIPE;Paseo De Lanceros, 4 ;Madrid;Latina;28024;915091679;915090044;Público
Madrid-Capital;28031099;CP INF-PRI;LA LATINA;Calle De Maqueda, 130 ;Madrid;Latina;28024;915099915;917196252;Público
Madrid-Capital;28033931;CP INF-PRI;LA RIOJA;Calle De León Felipe, 3 ;Madrid;Puente de Vallecas;28038;917773912;917773912;Público
Madrid-Capital;28010761;CP INF-PRI;LEGADO CRESPO;Paseo De Las Acacias, 2 ;Madrid;Arganzuela;28005;915286325;915286325;Público
Madrid-Capital;28010898;CP INF-PRI;LEOPOLDO ALAS;Calle De Pedrezuela, 18 ;Madrid;Ciudad Lineal;28017;914033755;914042281;Público
Madrid-Capital;28069820;CP INF-PRI;LEOPOLDO CALVO-SOTELO;Calle De Puente La Reina, S/n ;Madrid;Fuencarral-El Pardo;28050;914273351;914273083;Público
Madrid-Capital;28010771;CP INF-PRI;LEPANTO;Calle De Valderrey, 9 ;Madrid;Moncloa-Aravaca;28035;913160937;913738204;Público
Madrid-Capital;28010783;CP INF-PRI;LOPE DE VEGA;Calle De Inglaterra, 8 ;Madrid;Carabanchel;28019;914710955;914721124;Público
Madrid-Capital;28020867;CP INF-PRI;LORENZO LUZURIAGA;Calle De Valencia De Don Juan, 19 ;Madrid;Fuencarral-El Pardo;28034;917305938;917314362;Público
Madrid-Capital;28050355;CP INF-PRI;LOS ALMENDROS;Calle De Ladera De Los Almendros, 45 ;Madrid;Vicálvaro;28032;917510982;917726814;Público
Madrid-Capital;28006214;CP INF-PRI;LOS ROSALES;Avenida De Los Rosales, 131 ;Madrid;Villaverde;28021;917956756;917988116;Público
Madrid-Capital;28069169;CP INF-PRI;LOYOLA DE PALACIO;Calle Del Embalse De Navacerrada, 60 ;Madrid;Villa de Vallecas;28051;913851330;913326020;Público
Madrid-Capital;28005571;CP INF-PRI;LUIS BELLO;Calle De Luis Cabrera, 66 ;Madrid;Chamartín;28002;912205533;912205535;Público
Madrid-Capital;28021367;CP INF-PRI;LUIS CERNUDA;Calle Del Carril Del Conde, 64 ;Madrid;Hortaleza;28043;913002732;913002732;Público
Madrid-Capital;28005741;CP INF-PRI;LUIS DE GONGORA;Calle De Sarriá, 49 ;Madrid;Fuencarral-El Pardo;28029;913860816;913768253;Público
Madrid-Capital;28045086;CP INF-PRI;MADRID-SUR;Calle Del Puerto De Balbarán, 133 ;Madrid;Puente de Vallecas;28018;917855539;917855539;Público
Madrid-Capital;28072466;CP INF-PRI;MAESTRO PADILLA;Avenida De La Peseta C/v Vía Lusitana, S/n ;Madrid;Carabanchel;28054;911731852;911724720;Público
